date,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed
23.01.2024,MSV Duisburg,Hallescher FC,"2,20","3,60","3,00","1,40","1,32","1,52","2,5","1,67","2,15","1,52","2,35",2024-01-23 17:15:58.184572
23.01.2024,RW Essen,FC Viktoria Köln,"2,15","3,60","3,10","1,30","1,32","1,67","2,5","1,65","2,20","1,52","2,35",2024-01-23 17:15:58.184572
23.01.2024,SC Verl,1. FC Saarbrücken,"3,30","3,40","2,15","1,55","1,35","1,35","2,5","1,87","1,87","1,65","2,10",2024-01-23 17:15:58.184572
23.01.2024,SV Waldhof M.,Dynamo Dresden,"4,50","3,70","1,75","1,95","1,30","1,18","2,5","1,80","1,95","1,67","2,05",2024-01-23 17:15:58.184572
23.01.2024,VfB Lübeck,1860 München,"3,20","3,50","2,15","1,57","1,33","1,35","2,5","1,75","2,05","1,60","2,20",2024-01-23 17:15:58.184572
24.01.2024,Arminia Bielefeld,SSV Ulm 1846,"2,45","3,50","2,70","1,40","1,32","1,52","2,5","1,75","2,05","1,55","2,25",2024-01-23 17:15:58.184572
24.01.2024,Borussia Dortmund II,Jahn Regensburg,"3,20","3,50","2,15","1,70","1,32","1,28","2,5","1,80","1,95","1,62","2,15",2024-01-23 17:15:58.184572
24.01.2024,FC Ingolstadt,Preußen 06 Münster,"1,95","3,70","3,60","1,25","1,28","1,83","2,5","1,65","2,20","1,55","2,25",2024-01-23 17:15:58.184572
24.01.2024,SV Sandhausen,Erzgebirge Aue,"2,10","3,60","3,30","1,27","1,30","1,75","2,5","1,70","2,10","1,55","2,25",2024-01-23 17:15:58.184572
24.01.2024,SpVgg Unterhaching,SC Freiburg II,"1,75","3,90","4,30","1,17","1,27","2,05","2,5","1,87","1,87","1,72","1,97",2024-01-23 17:15:58.184572
26.01.2024,Hallescher FC,SV Waldhof M.,"2,20","3,70","3,00","1,37","1,27","1,65","2,5","1,60","2,30","1,47","2,50",2024-01-23 17:15:58.184572
27.01.2024,1. FC Saarbrücken,FC Ingolstadt,"1,90","3,90","3,60","1,27","1,25","1,85","2,5","1,70","2,10","1,60","2,20",2024-01-23 17:15:58.184572
27.01.2024,FC Viktoria Köln,SpVgg Unterhaching,"1,80","3,90","4,00","1,22","1,25","1,95","2,5","1,70","2,10","1,60","2,20",2024-01-23 17:15:58.184572
27.01.2024,Jahn Regensburg,Arminia Bielefeld,"2,00","3,80","3,40","1,30","1,25","1,80","2,5","1,70","2,10","1,58","2,25",2024-01-23 17:15:58.184572
27.01.2024,SC Freiburg II,SC Verl,"3,50","3,80","1,95","1,80","1,25","1,30","2,5","1,75","2,05","1,60","2,20",2024-01-23 17:15:58.184572
27.01.2024,SSV Ulm 1846,MSV Duisburg,"1,75","4,10","4,10","1,22","1,22","2,05","2,5","1,65","2,20","1,60","2,20",2024-01-23 17:15:58.184572
27.01.2024,Erzgebirge Aue,VfB Lübeck,"1,80","3,90","4,00","1,22","1,25","1,95","2,5","1,70","2,10","1,60","2,20",2024-01-23 17:15:58.184572
28.01.2024,Preußen 06 Münster,RW Essen,"2,10","3,70","3,20","1,35","1,27","1,70","2,5","1,70","2,10","1,55","2,30",2024-01-23 17:15:58.184572
28.01.2024,1860 München,SV Sandhausen,"2,35","3,70","2,75","1,42","1,27","1,57","2,5","1,70","2,10","1,55","2,30",2024-01-23 17:15:58.184572
28.01.2024,Dynamo Dresden,Borussia Dortmund II,"1,40","5,00","6,70","1,09","1,16","2,90","2,5","1,60","2,30","1,75","1,95",2024-01-23 17:15:58.184572
