home,guest,1,X,2,1X,12,X2,J,N,date,time,date_parsed
UD Almeria,CD Alaves,"2,65","3,20","2,80","1,48","1,39","1,50","1,90","1,88",26.01.2024,21:00,2024-01-26 09:07:29.543541
Real Sociedad,Rayo Vallecano,"1,64","3,75","5,70","1,17","1,30","2,25","2,25","1,64",27.01.2024,14:00,2024-01-26 09:07:29.543541
UD Las Palmas,Real Madrid,"7,00","4,70","1,44","2,85","1,22","1,13","1,90","1,90",27.01.2024,16:15,2024-01-26 09:07:29.543541
FC Barcelona,Villarreal CF,"1,34","5,90","7,75","1,11","1,16","3,35","1,58","2,35",27.01.2024,18:30,2024-01-26 09:07:29.543541
RCD Mallorca,Betis Sevilla,"2,45","3,10","3,20","1,39","1,40","1,60","2,10","1,72",27.01.2024,21:00,2024-01-26 09:07:29.543541
Celta Vigo,Girona FC,"2,75","3,50","2,50","1,56","1,33","1,48","1,62","2,25",28.01.2024,14:00,2024-01-26 09:07:29.543541
Cádiz CF,Athletic Bilbao,"5,30","3,65","1,72","2,15","1,32","1,19","2,10","1,70",28.01.2024,16:15,2024-01-26 09:07:29.543541
Sevilla FC,CA Osasuna,"2,05","3,35","3,80","1,30","1,36","1,80","1,98","1,82",28.01.2024,18:30,2024-01-26 09:07:29.543541
Atlético Madrid,Valencia CF,"1,49","4,50","6,50","1,14","1,23","2,70","1,98","1,80",28.01.2024,21:00,2024-01-26 09:07:29.543541
Getafe CF,Granada CF,"1,82","3,50","4,70","1,22","1,34","2,00","2,10","1,70",29.01.2024,21:00,2024-01-26 09:07:29.543541
FC Barcelona,CA Osasuna,"1,26","6,00","10,50","1,07","1,15","3,90","2,05","1,74",31.01.2024,19:00,2024-01-26 09:07:29.543541
Atlético Madrid,Rayo Vallecano,"1,44","4,70","6,75","1,13","1,21","2,80","1,92","1,88",31.01.2024,21:00,2024-01-26 09:07:29.543541
Getafe CF,Real Madrid,"5,80","4,00","1,58","2,40","1,27","1,16","1,98","1,80",01.02.2024,21:00,2024-01-26 09:07:29.543541
Athletic Bilbao,RCD Mallorca,"1,50","4,00","6,75","1,13","1,26","2,60","2,35","1,56",02.02.2024,21:00,2024-01-26 09:07:29.543541
Valencia CF,UD Almeria,"1,62","4,00","5,30","1,18","1,27","2,30","1,94","1,86",03.02.2024,14:00,2024-01-26 09:07:29.543541
Granada CF,UD Las Palmas,"2,30","3,20","3,25","1,37","1,38","1,64","2,00","1,80",03.02.2024,16:15,2024-01-26 09:07:29.543541
CD Alaves,FC Barcelona,"5,30","4,00","1,60","2,35","1,27","1,18","1,88","1,92",03.02.2024,18:30,2024-01-26 09:07:29.543541
Girona FC,Real Sociedad,"2,15","3,40","3,30","1,36","1,34","1,72","1,80","2,00",03.02.2024,21:00,2024-01-26 09:07:29.543541
Villarreal CF,Cádiz CF,"1,66","3,90","5,10","1,19","1,28","2,25","1,88","1,92",04.02.2024,14:00,2024-01-26 09:07:29.543541
CA Osasuna,Celta Vigo,"2,30","3,15","3,25","1,37","1,39","1,62","2,05","1,74",04.02.2024,16:15,2024-01-26 09:07:29.543541
Betis Sevilla,Getafe CF,"1,88","3,40","4,30","1,24","1,35","1,94","2,10","1,72",04.02.2024,18:30,2024-01-26 09:07:29.543541
Real Madrid,Atlético Madrid,"1,72","3,95","4,50","1,23","1,28","2,15","1,68","2,15",04.02.2024,21:00,2024-01-26 09:07:29.543541
Rayo Vallecano,Sevilla FC,"2,20","3,30","3,30","1,36","1,36","1,70","1,92","1,88",05.02.2024,21:00,2024-01-26 09:07:29.543541
