home,guest,1,X,2,1X,12,X2,J,N,date,time,date_parsed
SD Eibar,CD Mirandés,"1,58","3,55","5,40","1,14","1,26","2,20","2,05","1,68",26.01.2024,20:30,2024-01-26 09:07:45.673958
FC Cartagena,SD Amorebieta,"1,86","3,10","4,10","1,21","1,33","1,86","2,15","1,62",27.01.2024,16:15,2024-01-26 09:07:45.673958
AD Alcorcón,Real Zaragoza,"2,85","2,85","2,45","1,49","1,38","1,38","2,15","1,64",27.01.2024,16:15,2024-01-26 09:07:45.673958
Real Oviedo,CD Leganes,"2,10","2,80","3,70","1,25","1,39","1,66","2,30","1,56",27.01.2024,18:30,2024-01-26 09:07:45.673958
Levante UD,CD Teneriffa,"2,15","2,90","3,25","1,30","1,36","1,62","2,10","1,64",27.01.2024,21:00,2024-01-26 09:07:45.673958
Club Deportivo Eldense,Espanyol Barcelona,"2,85","2,90","2,35","1,52","1,36","1,37","1,98","1,76",28.01.2024,14:00,2024-01-26 09:07:45.673958
FC Andorra,Elche CF,"2,30","3,00","2,85","1,37","1,34","1,54","1,98","1,74",28.01.2024,15:15,2024-01-26 09:07:45.673958
Villarreal CF B,SD Huesca,"2,25","2,90","3,05","1,34","1,36","1,56","2,00","1,74",28.01.2024,16:15,2024-01-26 09:07:45.673958
Burgos CF,Albacete,"2,40","2,90","2,80","1,38","1,36","1,50","2,05","1,70",28.01.2024,18:30,2024-01-26 09:07:45.673958
Sporting Gijón,Racing Ferrol,"1,80","3,10","4,20","1,20","1,32","1,90","2,15","1,62",28.01.2024,21:00,2024-01-26 09:07:45.673958
Real Valladolid,Racing Santander,"1,82","3,25","3,85","1,23","1,29","1,88","1,86","1,86",29.01.2024,20:30,2024-01-26 09:07:45.673958
