date,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed,bookmaker,country,league
26.01.2024,1. FC Kaiserslautern,FC Schalke 04,"2,40","3,60","2,70","1,45","1,27","1,55","2,5","1,65","2,20","1,50","2,40",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
26.01.2024,Hannover 96,1. FC Nurnberg,"1,90","3,70","3,80","1,25","1,28","1,83","2,5","1,70","2,10","1,57","2,25",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
27.01.2024,FC Hansa Rostock,SV Elversberg,"2,70","3,60","2,40","1,52","1,32","1,40","2,5","1,65","2,20","1,50","2,40",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
27.01.2024,SV Wehen Wies.,Hertha BSC,"2,90","3,70","2,25","1,67","1,30","1,32","2,5","1,55","2,40","1,42","2,60",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
27.01.2024,VfL 1899 Osnabruck,SC Paderborn 07,"3,40","3,70","2,00","1,80","1,30","1,25","2,5","1,50","2,50","1,42","2,60",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
27.01.2024,Fortuna Dusseldorf,FC St. Pauli,"2,70","3,60","2,40","1,57","1,33","1,35","2,5","1,75","2,05","1,57","2,25",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
28.01.2024,Eintr. Braunschweig,1. FC Magdeburg,"2,65","3,60","2,45","1,45","1,32","1,47","2,5","1,70","2,10","1,52","2,35",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
28.01.2024,Greuther Furth,Holstein Kiel,"2,00","3,70","3,40","1,32","1,28","1,70","2,5","1,60","2,25","1,50","2,40",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
28.01.2024,Hamburger SV,Karlsruher SC,"1,60","4,50","4,60","1,16","1,22","2,25","3,5","1,93","1,83","1,40","2,70",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
02.02.2024,1. FC Magdeburg,Holstein Kiel,"2,30","3,80","2,75","1,42","1,25","1,60","2,5","1,60","2,30","1,47","2,50",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
02.02.2024,Karlsruher SC,SV Wehen Wies.,"1,60","4,20","5,00","1,16","1,20","2,30","2,5","1,65","2,20","1,65","2,10",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
03.02.2024,1. FC Nurnberg,VfL 1899 Osnabruck,"1,60","4,40","4,80","1,17","1,20","2,30","2,5","1,75","2,05","1,75","1,95",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
03.02.2024,FC Schalke 04,Eintr. Braunschweig,"1,65","4,20","4,60","1,18","1,22","2,20","2,5","1,70","2,10","1,65","2,10",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
03.02.2024,FC St. Pauli,Greuther Furth,"1,65","4,20","4,60","1,18","1,22","2,20","2,5","1,65","2,20","1,65","2,10",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
03.02.2024,Hertha BSC,Hamburger SV,"2,90","3,80","2,20","1,65","1,25","1,40","2,5","1,60","2,30","1,47","2,50",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
04.02.2024,Hannover 96,FC Hansa Rostock,"1,55","4,60","5,00","1,16","1,18","2,40","2,5","1,75","2,05","1,75","1,95",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
04.02.2024,SC Paderborn 07,Fortuna Dusseldorf,"2,50","3,60","2,60","1,47","1,27","1,50","2,5","1,60","2,30","1,45","2,55",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
04.02.2024,SV Elversberg,1. FC Kaiserslautern,"2,00","4,00","3,20","1,32","1,22","1,80","2,5","1,65","2,20","1,55","2,30",2024-01-23 17:15:44.037676,tipico,deutschland,2_bundesliga
