date,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed,bookmaker,country,league
26.01.2024,UD Almeria,Alaves,"2,55","3,20","2,80","1,45","1,37","1,42","2,5","2,15","1,67","1,77","1,93",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
27.01.2024,Real Sociedad,Rayo Vallecano,"1,62","3,70","5,80","1,08","1,30","2,30","2,5","2,20","1,65","2,05","1,67",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
27.01.2024,UD Las Palmas,Real Madrid,"7,20","4,60","1,42","2,80","1,22","1,05","2,5","1,62","2,25","1,75","1,93",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
27.01.2024,FC Barcelona,Villarreal,"1,28","6,20","8,50","1,03","1,14","3,60","3,5","1,80","1,95","1,55","2,25",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
27.01.2024,RCD Mallorca,Real Betis,"2,40","3,10","3,10","1,37","1,40","1,47","2,5","2,35","1,57","1,93","1,75",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
28.01.2024,RC Celta de Vigo,Girona FC,"2,65","3,50","2,50","1,52","1,32","1,40","2,5","1,72","2,05","1,52","2,35",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
28.01.2024,Cadiz,Athletic Bilbao,"5,50","3,60","1,67","2,15","1,33","1,10","2,5","2,10","1,70","1,93","1,75",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
28.01.2024,FC Sevilla,CA Osasuna,"2,00","3,30","3,90","1,20","1,35","1,80","2,5","2,15","1,67","1,83","1,85",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
28.01.2024,Atletico Madrid,CF Valencia,"1,50","4,30","6,20","1,08","1,22","2,65","2,5","1,77","2,00","1,83","1,85",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
29.01.2024,CF Getafe,Granada CF,"1,77","3,40","5,00","1,13","1,33","2,05","2,5","2,20","1,65","1,93","1,75",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
30.01.2024,FC Barcelona,CA Osasuna,"1,25","6,20","10,00","1,05","1,13","3,50","3,5","2,25","1,60","1,93","1,75",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
31.01.2024,Atletico Madrid,Rayo Vallecano,"1,40","4,90","7,00","1,05","1,20","2,95","2,5","1,60","2,25","1,75","1,93",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
01.02.2024,CF Getafe,Real Madrid,"6,00","4,00","1,55","2,40","1,27","1,08","2,5","1,85","1,90","1,83","1,85",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
02.02.2024,Athletic Bilbao,RCD Mallorca,"1,50","4,00","7,00","1,06","1,25","2,60","2,5","2,05","1,72","2,05","1,67",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
03.02.2024,CF Valencia,UD Almeria,"1,62","3,90","5,30","1,11","1,27","2,30","2,5","1,80","1,95","1,75","1,93",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
03.02.2024,Granada CF,UD Las Palmas,"2,30","3,20","3,20","1,35","1,37","1,52","2,5","2,25","1,60","1,93","1,75",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
03.02.2024,Alaves,FC Barcelona,"5,70","3,90","1,60","2,35","1,27","1,10","2,5","1,77","2,00","1,70","2,00",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
03.02.2024,Girona FC,Real Sociedad,"2,20","3,30","3,30","1,27","1,33","1,70","2,5","1,90","1,85","1,67","2,05",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
04.02.2024,Villarreal,Cadiz,"1,62","4,00","5,20","1,12","1,25","2,30","2,5","1,80","1,95","1,75","1,93",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
04.02.2024,CA Osasuna,RC Celta de Vigo,"2,45","2,95","3,20","1,30","1,40","1,55","2,5","2,35","1,57","1,93","1,75",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
04.02.2024,Real Betis,CF Getafe,"1,83","3,40","4,60","1,14","1,35","1,97","2,5","2,20","1,65","1,93","1,75",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
04.02.2024,Real Madrid,Atletico Madrid,"1,65","4,30","4,50","1,16","1,25","2,15","2,5","1,60","2,25","1,57","2,25",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
05.02.2024,Rayo Vallecano,FC Sevilla,"2,20","3,30","3,30","1,33","1,35","1,57","2,5","2,10","1,70","1,72","1,97",2024-01-23 17:15:10.739322,tipico,spanien,la_liga
