date,time,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed,bookmaker,country,league
24.01.2024,20:30,FC Bayern Munchen,1.FC Union Berlin,1.16,8.0,16.25,1.03,1.08,4.9,3.5,2.0,1.8,2.05,1.65,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
26.01.2024,20:30,Eintracht Frankfurt,1. FSV Mainz 05,1.95,3.6,3.75,1.25,1.3,1.8,2.5,1.95,1.85,1.75,1.9,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
27.01.2024,15:30,VfL Wolfsburg,1. FC Koln,1.8,3.8,4.25,1.22,1.25,1.95,2.5,1.8,2.0,1.7,2.0,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
27.01.2024,15:30,FC Augsburg,FC Bayern Munchen,9.0,6.25,1.3,3.45,1.13,1.07,3.5,1.9,1.9,1.62,2.1,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
27.01.2024,15:30,Werder Bremen,SC Freiburg,2.55,3.6,2.65,1.47,1.3,1.5,2.5,1.75,2.1,1.58,2.2,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
27.01.2024,15:30,VfB Stuttgart,RB Leipzig,2.6,3.75,2.5,1.52,1.3,1.47,2.5,1.58,2.35,1.47,2.45,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
27.01.2024,15:30,TSG 1899 Hoffenheim,1. FC Heidenheim 1846,1.7,4.35,4.5,1.21,1.23,2.15,3.5,2.25,1.62,1.52,2.3,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
27.01.2024,18:30,Bayer Leverkusen,Borussia M'gladbach,1.3,6.25,9.0,1.07,1.13,3.45,3.5,1.95,1.8,1.65,2.05,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
28.01.2024,15:30,1.FC Union Berlin,SV Darmstadt 98,1.62,4.05,5.25,1.16,1.24,2.25,2.5,1.85,1.95,1.85,1.85,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
28.01.2024,17:30,Borussia Dortmund,VfL Bochum,1.37,5.5,7.25,1.1,1.16,2.95,3.5,2.05,1.75,1.6,2.15,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
02.02.2024,20:30,1. FC Heidenheim 1846,Borussia Dortmund,3.85,4.2,1.8,1.95,1.24,1.25,3.5,2.1,1.7,1.42,2.55,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
03.02.2024,15:30,VfL Bochum,FC Augsburg,2.1,3.55,3.35,1.32,1.3,1.7,2.5,1.7,2.1,1.58,2.2,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
03.02.2024,15:30,FC Bayern Munchen,Borussia M'gladbach,1.13,9.25,17.0,1.03,1.06,5.5,3.5,1.62,2.25,1.8,1.9,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
03.02.2024,15:30,SV Darmstadt 98,Bayer Leverkusen,7.5,5.5,1.37,3.0,1.15,1.1,3.5,2.1,1.7,1.65,2.05,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
03.02.2024,15:30,SC Freiburg,VfB Stuttgart,3.1,3.7,2.2,1.65,1.3,1.37,2.5,1.7,2.1,1.58,2.2,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
03.02.2024,15:30,1. FSV Mainz 05,Werder Bremen,1.95,3.6,3.85,1.25,1.3,1.8,2.5,1.85,1.95,1.7,2.0,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
03.02.2024,18:30,1. FC Koln,Eintracht Frankfurt,2.75,3.5,2.45,1.52,1.32,1.42,2.5,1.9,1.9,1.7,2.05,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
04.02.2024,15:30,VfL Wolfsburg,TSG 1899 Hoffenheim,2.0,3.85,3.4,1.3,1.25,1.75,2.5,1.6,2.3,1.5,2.35,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
04.02.2024,17:30,RB Leipzig,1.FC Union Berlin,1.37,5.0,7.5,1.1,1.18,2.9,2.5,1.6,2.3,1.85,1.85,2024-01-23 17:17:22.719756,tipwin,deutschland,bundesliga
