date,time,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed,bookmaker,country,league
26.01.2024,20:30,SD Eibar,CD Mirandes,1.7,3.45,5.0,1.14,1.25,1.95,2.5,2.05,1.7,1.95,1.7,2024-01-23 17:17:16.963895,tipwin,spanien,la_liga_2
27.01.2024,16:15,AD Alcorcon,Real Saragossa,2.9,2.95,2.5,1.45,1.35,1.35,1.5,1.52,2.3,2.1,1.62,2024-01-23 17:17:16.963895,tipwin,spanien,la_liga_2
27.01.2024,16:15,FC Cartagena,SD Amorebieta,1.9,3.15,4.15,1.2,1.3,1.75,2.5,2.4,1.52,2.1,1.62,2024-01-23 17:17:16.963895,tipwin,spanien,la_liga_2
27.01.2024,18:30,Real Oviedo,CD Leganes,2.15,2.95,3.7,1.23,1.35,1.58,1.5,1.55,2.2,2.25,1.55,2024-01-23 17:17:16.963895,tipwin,spanien,la_liga_2
27.01.2024,21:00,UD Levante,CD Tenerife,2.2,2.95,3.45,1.25,1.35,1.55,1.5,1.5,2.4,2.1,1.65,2024-01-23 17:17:16.963895,tipwin,spanien,la_liga_2
28.01.2024,14:00,Club Dep. Eldense,RCD Espanyol Barcelona,2.95,3.0,2.4,1.47,1.32,1.32,2.5,2.3,1.55,1.95,1.75,2024-01-23 17:17:16.963895,tipwin,spanien,la_liga_2
28.01.2024,16:15,CF Villarreal B,SD Huesca,2.3,3.05,3.2,1.3,1.32,1.52,2.5,2.25,1.55,1.95,1.75,2024-01-23 17:17:16.963895,tipwin,spanien,la_liga_2
28.01.2024,16:15,FC Andorra,CF Elche,2.4,3.1,2.95,1.35,1.32,1.47,2.5,2.3,1.55,1.95,1.75,2024-01-23 17:17:16.963895,tipwin,spanien,la_liga_2
28.01.2024,18:30,Burgos CF,Albacete Balompie,2.55,3.0,2.8,1.37,1.32,1.42,1.5,1.47,2.45,2.05,1.7,2024-01-23 17:17:16.963895,tipwin,spanien,la_liga_2
28.01.2024,21:00,Sporting Gijon,Racing de Ferrol,1.9,3.25,4.15,1.19,1.3,1.75,2.5,2.35,1.52,2.1,1.62,2024-01-23 17:17:16.963895,tipwin,spanien,la_liga_2
29.01.2024,20:30,Real Valladolid,Racing De Santander,1.75,3.45,4.4,1.18,1.25,1.85,2.5,1.95,1.75,1.85,1.8,2024-01-23 17:17:16.963895,tipwin,spanien,la_liga_2
