home,guest,1,X,2,1X,12,X2,J,N,date,time,date_parsed,bookmaker,country,league
Hallescher FC,SV Waldhof Mannheim,"2,15","3,60","3,05","1,37","1,28","1,64","1,60","2,20",26.01.2024,19:00,2024-01-26 09:08:36.766648,winamax,deutschland,3_liga
FC Viktoria Koln,SpVgg Unterhaching,"2,15","3,55","3,10","1,35","1,28","1,66","1,62","2,15",27.01.2024,14:00,2024-01-26 09:08:36.766648,winamax,deutschland,3_liga
SSV Jahn Regensburg,Arminia Bielefeld,"2,05","3,60","3,30","1,32","1,28","1,72","1,60","2,20",27.01.2024,14:00,2024-01-26 09:08:36.766648,winamax,deutschland,3_liga
SSV Ulm 1846,MSV Duisburg,"1,72","3,80","4,40","1,20","1,25","2,05","1,72","2,00",27.01.2024,14:00,2024-01-26 09:08:36.766648,winamax,deutschland,3_liga
1. FC Saarbrucken,FC Ingolstadt 04,"2,05","3,60","3,25","1,33","1,28","1,72","1,64","2,10",27.01.2024,14:00,2024-01-26 09:08:36.766648,winamax,deutschland,3_liga
SC Freiburg II,SC Verl 1924,"3,40","3,65","2,00","1,76","1,27","1,30","1,62","2,15",27.01.2024,14:00,2024-01-26 09:08:36.766648,winamax,deutschland,3_liga
Erzgebirge Aue,VfB Lubeck,"1,86","3,70","3,85","1,25","1,27","1,90","1,66","2,10",27.01.2024,16:30,2024-01-26 09:08:36.766648,winamax,deutschland,3_liga
SC Preussen Munster,Rot-Weiss Essen,"2,10","3,65","3,15","1,34","1,27","1,70","1,56","2,30",28.01.2024,13:30,2024-01-26 09:08:36.766648,winamax,deutschland,3_liga
TSV 1860 Munchen,SV Sandhausen,"2,45","3,50","2,65","1,45","1,29","1,52","1,62","2,15",28.01.2024,16:30,2024-01-26 09:08:36.766648,winamax,deutschland,3_liga
Dynamo Dresden,Borussia Dortmund II,"1,48","4,40","6,25","1,11","1,20","2,60","1,84","1,86",28.01.2024,19:30,2024-01-26 09:08:36.766648,winamax,deutschland,3_liga
