home,guest,1,X,2,1X,12,X2,J,N,date,time,date_parsed,bookmaker,country,league
Eintracht Frankfurt,1. FSV Mainz 05,"2,15","3,45","3,50","1,34","1,35","1,74","1,84","1,96",26.01.2024,20:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
VfB Stuttgart,RB Leipzig,"2,75","3,75","2,45","1,58","1,31","1,50","1,50","2,55",27.01.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
FC Augsburg,FC Bayern Munchen,"9,00","6,25","1,30","3,65","1,15","1,09","1,72","2,10",27.01.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
TSG Hoffenheim,1. FC Heidenheim 1846,"1,68","4,30","4,70","1,22","1,25","2,25","1,56","2,35",27.01.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
VfL Wolfsburg,1. FC Koln,"1,82","3,85","4,30","1,25","1,30","2,00","1,76","2,05",27.01.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
SV Werder Bremen,SC Freiburg,"2,45","3,55","2,85","1,46","1,34","1,60","1,62","2,25",27.01.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
Bayer Leverkusen,Borussia M'Gladbach,"1,27","6,75",10,"1,08","1,14","3,90","1,78","2,00",27.01.2024,18:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
1. FC Union Berlin,SV Darmstadt 98,"1,62","4,00","5,80","1,17","1,28","2,35","1,92","1,88",28.01.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
Borussia Dortmund,VfL Bochum,"1,37","5,70","7,50","1,12","1,17","3,20","1,66","2,15",28.01.2024,17:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
1. FC Heidenheim 1846,Borussia Dortmund,"3,80","4,20","1,80","2,00","1,26","1,29","1,48","2,65",02.02.2024,20:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
FC Bayern Munchen,Borussia M'Gladbach,"1,11","9,50",18,"1,03","1,07","6,50","1,92","1,86",03.02.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
SV Darmstadt 98,Bayer Leverkusen,"7,75","5,70","1,33","3,35","1,16","1,11","1,74","2,05",03.02.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
SC Freiburg,VfB Stuttgart,"3,10","3,65","2,15","1,70","1,31","1,40","1,62","2,25",03.02.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
1. FSV Mainz 05,SV Werder Bremen,"1,94","3,60","3,80","1,29","1,32","1,88","1,74","2,05",03.02.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
VfL Bochum,FC Augsburg,"1,98","3,70","3,55","1,32","1,31","1,86","1,66","2,20",03.02.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
1. FC Koln,Eintracht Frankfurt,"2,75","3,50","2,45","1,58","1,33","1,47","1,74","2,05",03.02.2024,18:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
VfL Wolfsburg,TSG Hoffenheim,"2,00","3,80","3,40","1,35","1,29","1,84","1,56","2,40",04.02.2024,15:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
RB Leipzig,1. FC Union Berlin,"1,37","5,20","7,50","1,11","1,19","3,15","1,92","1,88",04.02.2024,17:30,2024-01-26 09:08:04.892309,winamax,deutschland,bundesliga
