date,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed
26.01.2024,SD Eibar,CD Mirandes,"1,62","3,60","5,20","1,09","1,27","2,15","2,5","1,93","1,75","1,90","1,80",2024-01-23 17:15:20.210506
27.01.2024,AD Alcorcon,Real Zaragoza,"3,00","2,75","2,55","1,45","1,35","1,37","2,5","2,50","1,45","2,05","1,67",2024-01-23 17:15:20.210506
27.01.2024,FC Cartagena,SD Amorebieta,"1,83","3,20","4,40","1,14","1,32","1,87","2,5","2,30","1,55","2,00","1,70",2024-01-23 17:15:20.210506
27.01.2024,Real Oviedo,CD Leganes,"2,10","2,80","3,90","1,25","1,42","1,52","1,5","1,52","2,35","2,25","1,55",2024-01-23 17:15:20.210506
27.01.2024,UD Levante,CD Tenerife,"2,15","2,95","3,50","1,22","1,37","1,62","2,5","2,45","1,47","2,00","1,70",2024-01-23 17:15:20.210506
28.01.2024,CD Eldense,Espanyol Barcelona,"3,00","2,95","2,40","1,50","1,40","1,27","2,5","2,30","1,55","1,95","1,75",2024-01-23 17:15:20.210506
28.01.2024,CF Villarreal B,SD Huesca,"2,35","2,80","3,30","1,25","1,37","1,57","2,5","2,25","1,55","1,95","1,75",2024-01-23 17:15:20.210506
28.01.2024,FC Andorra,CF Elche,"2,50","2,90","2,90","1,35","1,40","1,40","2,5","2,25","1,55","1,95","1,75",2024-01-23 17:15:20.210506
28.01.2024,CF Burgos,Albacete Balompie,"2,55","2,90","2,85","1,32","1,40","1,45","2,5","2,35","1,52","2,00","1,70",2024-01-23 17:15:20.210506
28.01.2024,Sporting Gijon,Racing C. DE Ferrol,"1,80","3,20","4,60","1,12","1,32","1,93","2,5","2,25","1,55","2,05","1,67",2024-01-23 17:15:20.210506
29.01.2024,Real Valladolid,Racing de Santander,"1,80","3,50","4,10","1,20","1,30","1,77","2,5","1,90","1,80","1,77","1,93",2024-01-23 17:15:20.210506
