date,time,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed
23.01.2024,19:00,SV Waldhof Mannheim 07,Dynamo Dresden,4.25,3.75,1.85,1.95,1.30,1.22,2.5,1.85,1.90,1.75,1.95,2024-01-23 17:17:33.975608
23.01.2024,19:00,SC Verl,1. FC Saarbrücken,3.25,3.50,2.20,1.65,1.32,1.35,2.5,1.95,1.85,1.75,1.95,2024-01-23 17:17:33.975608
23.01.2024,19:00,VfB Lübeck,TSV 1860 München,3.15,3.50,2.20,1.65,1.30,1.35,2.5,1.80,2.00,1.62,2.10,2024-01-23 17:17:33.975608
23.01.2024,19:00,MSV Duisburg,Hallescher FC,2.25,3.60,3.00,1.37,1.30,1.62,2.5,1.70,2.10,1.58,2.20,2024-01-23 17:17:33.975608
23.01.2024,19:00,Rot-Weiss Essen,FC Viktoria Cologne,2.25,3.70,3.05,1.37,1.30,1.62,2.5,1.70,2.15,1.55,2.25,2024-01-23 17:17:33.975608
24.01.2024,19:00,FC Ingolstadt 04,SC Preußen 06 Münster,2.00,3.75,3.50,1.30,1.30,1.75,2.5,1.70,2.15,1.58,2.20,2024-01-23 17:17:33.975608
24.01.2024,19:00,Borussia Dortmund II,Jahn Regensburg,3.30,3.50,2.15,1.65,1.30,1.32,2.5,1.85,1.90,1.65,2.05,2024-01-23 17:17:33.975608
24.01.2024,19:00,SV Sandhausen,FC Erzgebirge Aue,2.10,3.65,3.30,1.32,1.30,1.70,2.5,1.75,2.05,1.60,2.15,2024-01-23 17:17:33.975608
24.01.2024,19:00,Arminia Bielefeld,SSV Ulm 1846,2.40,3.60,2.85,1.42,1.30,1.55,2.5,1.80,2.00,1.62,2.15,2024-01-23 17:17:33.975608
24.01.2024,19:00,SpVgg Unterhaching,SC Freiburg II,1.75,3.85,4.50,1.21,1.25,2.00,2.5,1.90,1.90,1.80,1.90,2024-01-23 17:17:33.975608
