date,time,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed
24.01.2024,20:30,FC Bayern München,1.FC Union Berlin,1.16,8.00,16.25,1.03,1.08,4.90,3.5,2.00,1.80,2.05,1.65,2024-01-23 17:17:22.719756
26.01.2024,20:30,Eintracht Frankfurt,1. FSV Mainz 05,1.95,3.60,3.75,1.25,1.30,1.80,2.5,1.95,1.85,1.75,1.90,2024-01-23 17:17:22.719756
27.01.2024,15:30,VfL Wolfsburg,1. FC Köln,1.80,3.80,4.25,1.22,1.25,1.95,2.5,1.80,2.00,1.70,2.00,2024-01-23 17:17:22.719756
27.01.2024,15:30,FC Augsburg,FC Bayern München,9.00,6.25,1.30,3.45,1.13,1.07,3.5,1.90,1.90,1.62,2.10,2024-01-23 17:17:22.719756
27.01.2024,15:30,Werder Bremen,SC Freiburg,2.55,3.60,2.65,1.47,1.30,1.50,2.5,1.75,2.10,1.58,2.20,2024-01-23 17:17:22.719756
27.01.2024,15:30,VfB Stuttgart,RB Leipzig,2.60,3.75,2.50,1.52,1.30,1.47,2.5,1.58,2.35,1.47,2.45,2024-01-23 17:17:22.719756
27.01.2024,15:30,TSG 1899 Hoffenheim,1. FC Heidenheim 1846,1.70,4.35,4.50,1.21,1.23,2.15,3.5,2.25,1.62,1.52,2.30,2024-01-23 17:17:22.719756
27.01.2024,18:30,Bayer Leverkusen,Borussia M'gladbach,1.30,6.25,9.00,1.07,1.13,3.45,3.5,1.95,1.80,1.65,2.05,2024-01-23 17:17:22.719756
28.01.2024,15:30,1.FC Union Berlin,SV Darmstadt 98,1.62,4.05,5.25,1.16,1.24,2.25,2.5,1.85,1.95,1.85,1.85,2024-01-23 17:17:22.719756
28.01.2024,17:30,Borussia Dortmund,VfL Bochum,1.37,5.50,7.25,1.10,1.16,2.95,3.5,2.05,1.75,1.60,2.15,2024-01-23 17:17:22.719756
02.02.2024,20:30,1. FC Heidenheim 1846,Borussia Dortmund,3.85,4.20,1.80,1.95,1.24,1.25,3.5,2.10,1.70,1.42,2.55,2024-01-23 17:17:22.719756
03.02.2024,15:30,VfL Bochum,FC Augsburg,2.10,3.55,3.35,1.32,1.30,1.70,2.5,1.70,2.10,1.58,2.20,2024-01-23 17:17:22.719756
03.02.2024,15:30,FC Bayern München,Borussia M'gladbach,1.13,9.25,17.00,1.03,1.06,5.50,3.5,1.62,2.25,1.80,1.90,2024-01-23 17:17:22.719756
03.02.2024,15:30,SV Darmstadt 98,Bayer Leverkusen,7.50,5.50,1.37,3.00,1.15,1.10,3.5,2.10,1.70,1.65,2.05,2024-01-23 17:17:22.719756
03.02.2024,15:30,SC Freiburg,VfB Stuttgart,3.10,3.70,2.20,1.65,1.30,1.37,2.5,1.70,2.10,1.58,2.20,2024-01-23 17:17:22.719756
03.02.2024,15:30,1. FSV Mainz 05,Werder Bremen,1.95,3.60,3.85,1.25,1.30,1.80,2.5,1.85,1.95,1.70,2.00,2024-01-23 17:17:22.719756
03.02.2024,18:30,1. FC Köln,Eintracht Frankfurt,2.75,3.50,2.45,1.52,1.32,1.42,2.5,1.90,1.90,1.70,2.05,2024-01-23 17:17:22.719756
04.02.2024,15:30,VfL Wolfsburg,TSG 1899 Hoffenheim,2.00,3.85,3.40,1.30,1.25,1.75,2.5,1.60,2.30,1.50,2.35,2024-01-23 17:17:22.719756
04.02.2024,17:30,RB Leipzig,1.FC Union Berlin,1.37,5.00,7.50,1.10,1.18,2.90,2.5,1.60,2.30,1.85,1.85,2024-01-23 17:17:22.719756
