date,time,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed
26.01.2024,21:00,UD Almeria,Deportivo Alaves,2.60,3.25,2.75,1.42,1.35,1.47,2.5,2.15,1.70,1.85,1.85,2024-01-23 17:17:11.301292
27.01.2024,14:00,Real Sociedad,Rayo Vallecano,1.65,3.70,5.75,1.15,1.30,2.15,2.5,2.25,1.62,2.15,1.62,2024-01-23 17:17:11.301292
27.01.2024,16:15,UD Las Palmas,Real Madrid,6.50,4.70,1.45,2.65,1.19,1.12,2.5,1.65,2.20,1.80,1.90,2024-01-23 17:17:11.301292
27.01.2024,18:30,FC Barcelona,CF Villarreal,1.32,6.00,7.75,1.09,1.14,3.15,3.5,1.85,1.90,1.55,2.20,2024-01-23 17:17:11.301292
27.01.2024,21:00,RCD Mallorca,Real Betis Balompie,2.45,3.25,3.00,1.37,1.35,1.55,2.5,2.45,1.52,2.05,1.65,2024-01-23 17:17:11.301292
28.01.2024,14:00,RC Celta de Vigo,Girona CF,2.70,3.50,2.55,1.50,1.32,1.45,2.5,1.75,2.05,1.58,2.25,2024-01-23 17:17:11.301292
28.01.2024,16:15,Cadiz CF,Athletic Bilbao,5.50,3.65,1.70,2.10,1.30,1.16,2.5,2.15,1.70,2.05,1.70,2024-01-23 17:17:11.301292
28.01.2024,18:30,FC Sevilla,CA Osasuna,2.10,3.40,3.65,1.30,1.32,1.70,2.5,2.15,1.65,1.90,1.80,2024-01-23 17:17:11.301292
28.01.2024,21:00,Atletico Madrid,CF Valencia,1.52,4.40,6.25,1.13,1.22,2.45,2.5,1.75,2.00,1.85,1.80,2024-01-23 17:17:11.301292
29.01.2024,21:00,FC Getafe,Granada CF,1.80,3.50,4.65,1.20,1.30,1.95,2.5,2.25,1.62,2.05,1.70,2024-01-23 17:17:11.301292
31.01.2024,19:00,FC Barcelona,CA Osasuna,1.30,5.75,10.00,1.06,1.14,3.45,3.5,2.35,1.58,1.95,1.75,2024-01-23 17:17:11.301292
31.01.2024,21:00,Atletico Madrid,Rayo Vallecano,1.45,4.75,6.75,1.12,1.19,2.65,2.5,1.65,2.20,1.80,1.85,2024-01-23 17:17:11.301292
01.02.2024,21:00,FC Getafe,Real Madrid,5.75,4.05,1.58,2.30,1.24,1.14,2.5,1.90,1.90,1.90,1.75,2024-01-23 17:17:11.301292
02.02.2024,21:00,Athletic Bilbao,RCD Mallorca,1.52,4.05,7.00,1.12,1.24,2.45,2.5,2.20,1.65,2.25,1.55,2024-01-23 17:17:11.301292
03.02.2024,14:00,CF Valencia,UD Almeria,1.65,3.95,5.25,1.16,1.25,2.20,2.5,1.90,1.90,1.85,1.85,2024-01-23 17:17:11.301292
03.02.2024,16:15,Granada CF,UD Las Palmas,2.25,3.25,3.35,1.32,1.35,1.62,2.5,2.30,1.60,1.95,1.75,2024-01-23 17:17:11.301292
03.02.2024,18:30,Deportivo Alaves,FC Barcelona,5.25,4.00,1.65,2.20,1.25,1.16,2.5,1.80,1.95,1.80,1.90,2024-01-23 17:17:11.301292
03.02.2024,21:00,Girona CF,Real Sociedad,2.20,3.50,3.25,1.35,1.32,1.65,2.5,1.95,1.85,1.75,1.95,2024-01-23 17:17:11.301292
04.02.2024,14:00,CF Villarreal,Cadiz CF,1.65,3.95,5.00,1.18,1.25,2.15,2.5,1.85,1.95,1.80,1.85,2024-01-23 17:17:11.301292
04.02.2024,16:15,CA Osasuna,RC Celta de Vigo,2.40,3.20,3.10,1.35,1.35,1.55,2.5,2.35,1.58,2.00,1.75,2024-01-23 17:17:11.301292
04.02.2024,18:30,Real Betis Balompie,FC Getafe,1.85,3.45,4.70,1.20,1.32,1.95,2.5,2.30,1.60,2.05,1.65,2024-01-23 17:17:11.301292
04.02.2024,21:00,Real Madrid,Atletico Madrid,1.75,4.00,4.50,1.20,1.25,2.05,2.5,1.65,2.20,1.62,2.15,2024-01-23 17:17:11.301292
05.02.2024,21:00,Rayo Vallecano,FC Sevilla,2.20,3.35,3.35,1.32,1.32,1.65,2.5,2.15,1.70,1.85,1.85,2024-01-23 17:17:11.301292
