date,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed,bookmaker,country,league
24.01.2024,Bayern Munchen,Union Berlin,"1,13","9,00","17,00","1,02","1,08","5,00","3,5","1,90","1,85","2,00","1,70",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
26.01.2024,Eintracht Frankfurt,FSV Mainz 05,"1,95","3,50","3,90","1,22","1,33","1,87","2,5","1,87","1,87","1,70","2,00",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
27.01.2024,FC Augsburg,Bayern Munchen,"10,00","6,00","1,27","3,40","1,15","1,06","3,5","1,87","1,87","1,65","2,10",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
27.01.2024,TSG 1899 Hoffenheim,1. FC Heidenheim,"1,62","4,30","4,90","1,20","1,25","2,10","3,5","2,20","1,65","1,47","2,45",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
27.01.2024,VfB Stuttgart,RB Leipzig,"2,65","3,60","2,50","1,55","1,30","1,45","2,5","1,55","2,40","1,42","2,60",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
27.01.2024,VfL Wolfsburg,1. FC Koln,"1,75","3,90","4,40","1,18","1,30","2,05","2,5","1,77","2,00","1,67","2,05",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
27.01.2024,Werder Bremen,SC Freiburg,"2,45","3,50","2,75","1,45","1,33","1,50","2,5","1,72","2,05","1,55","2,25",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
27.01.2024,Bayer Leverkusen,Bor. M'gladbach,"1,25","6,70","9,50","1,07","1,13","3,50","3,5","1,87","1,87","1,65","2,10",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
28.01.2024,Union Berlin,SV Darmstadt 98,"1,60","3,90","5,80","1,16","1,28","2,15","2,5","1,80","1,95","1,72","1,97",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
28.01.2024,Borussia Dortmund,VfL Bochum,"1,35","5,70","7,20","1,10","1,17","2,90","3,5","1,95","1,80","1,57","2,25",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
02.02.2024,1. FC Heidenheim,Borussia Dortmund,"4,00","4,00","1,80","2,00","1,27","1,22","3,5","2,10","1,70","1,42","2,60",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
03.02.2024,Bayern Munchen,Bor. M'gladbach,"1,12","10,50","15,00",,"1,03","7,80","3,5","1,60","2,25","1,93","1,75",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
03.02.2024,FSV Mainz 05,Werder Bremen,"1,90","3,70","3,90","1,28","1,30","1,80","2,5","1,77","2,00","1,65","2,10",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
03.02.2024,SC Freiburg,VfB Stuttgart,"3,10","3,60","2,20","1,57","1,32","1,40","2,5","1,67","2,15","1,55","2,25",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
03.02.2024,SV Darmstadt 98,Bayer Leverkusen,"8,00","5,30","1,35","3,30","1,16","1,06","3,5","2,05","1,72","1,62","2,15",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
03.02.2024,VfL Bochum,FC Augsburg,"2,15","3,60","3,20","1,35","1,30","1,67","2,5","1,67","2,15","1,52","2,35",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
03.02.2024,1. FC Koln,Eintracht Frankfurt,"2,90","3,40","2,40","1,57","1,35","1,37","2,5","1,83","1,93","1,65","2,10",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
04.02.2024,VfL Wolfsburg,TSG 1899 Hoffenheim,"1,95","3,90","3,50","1,27","1,28","1,85","2,5","1,57","2,35","1,45","2,50",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
04.02.2024,RB Leipzig,Union Berlin,"1,35","5,30","8,00","1,06","1,18","3,20","2,5","1,57","2,35","1,80","1,90",2024-01-23 17:15:31.576397,tipico,deutschland,bundesliga
