date,time,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed,bookmaker,country,league
23.01.2024,19:00,SV Waldhof Mannheim 07,Dynamo Dresden,4.25,3.75,1.85,1.95,1.3,1.22,2.5,1.85,1.9,1.75,1.95,2024-01-23 17:17:33.975608,tipwin,deutschland,3_liga
23.01.2024,19:00,SC Verl,1. FC Saarbrucken,3.25,3.5,2.2,1.65,1.32,1.35,2.5,1.95,1.85,1.75,1.95,2024-01-23 17:17:33.975608,tipwin,deutschland,3_liga
23.01.2024,19:00,VfB Lubeck,TSV 1860 Munchen,3.15,3.5,2.2,1.65,1.3,1.35,2.5,1.8,2.0,1.62,2.1,2024-01-23 17:17:33.975608,tipwin,deutschland,3_liga
23.01.2024,19:00,MSV Duisburg,Hallescher FC,2.25,3.6,3.0,1.37,1.3,1.62,2.5,1.7,2.1,1.58,2.2,2024-01-23 17:17:33.975608,tipwin,deutschland,3_liga
23.01.2024,19:00,Rot-Weiss Essen,FC Viktoria Cologne,2.25,3.7,3.05,1.37,1.3,1.62,2.5,1.7,2.15,1.55,2.25,2024-01-23 17:17:33.975608,tipwin,deutschland,3_liga
24.01.2024,19:00,FC Ingolstadt 04,SC Preussen 06 Munster,2.0,3.75,3.5,1.3,1.3,1.75,2.5,1.7,2.15,1.58,2.2,2024-01-23 17:17:33.975608,tipwin,deutschland,3_liga
24.01.2024,19:00,Borussia Dortmund II,Jahn Regensburg,3.3,3.5,2.15,1.65,1.3,1.32,2.5,1.85,1.9,1.65,2.05,2024-01-23 17:17:33.975608,tipwin,deutschland,3_liga
24.01.2024,19:00,SV Sandhausen,FC Erzgebirge Aue,2.1,3.65,3.3,1.32,1.3,1.7,2.5,1.75,2.05,1.6,2.15,2024-01-23 17:17:33.975608,tipwin,deutschland,3_liga
24.01.2024,19:00,Arminia Bielefeld,SSV Ulm 1846,2.4,3.6,2.85,1.42,1.3,1.55,2.5,1.8,2.0,1.62,2.15,2024-01-23 17:17:33.975608,tipwin,deutschland,3_liga
24.01.2024,19:00,SpVgg Unterhaching,SC Freiburg II,1.75,3.85,4.5,1.21,1.25,2.0,2.5,1.9,1.9,1.8,1.9,2024-01-23 17:17:33.975608,tipwin,deutschland,3_liga
