date,time,home,guest,1,X,2,1X,12,X2,goals_threshold,+,-,J,N,date_parsed,bookmaker,country,league
26.01.2024,21:00,UD Almeria,Deportivo Alaves,2.6,3.25,2.75,1.42,1.35,1.47,2.5,2.15,1.7,1.85,1.85,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
27.01.2024,14:00,Real Sociedad,Rayo Vallecano,1.65,3.7,5.75,1.15,1.3,2.15,2.5,2.25,1.62,2.15,1.62,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
27.01.2024,16:15,UD Las Palmas,Real Madrid,6.5,4.7,1.45,2.65,1.19,1.12,2.5,1.65,2.2,1.8,1.9,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
27.01.2024,18:30,FC Barcelona,CF Villarreal,1.32,6.0,7.75,1.09,1.14,3.15,3.5,1.85,1.9,1.55,2.2,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
27.01.2024,21:00,RCD Mallorca,Real Betis Balompie,2.45,3.25,3.0,1.37,1.35,1.55,2.5,2.45,1.52,2.05,1.65,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
28.01.2024,14:00,RC Celta de Vigo,Girona CF,2.7,3.5,2.55,1.5,1.32,1.45,2.5,1.75,2.05,1.58,2.25,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
28.01.2024,16:15,Cadiz CF,Athletic Bilbao,5.5,3.65,1.7,2.1,1.3,1.16,2.5,2.15,1.7,2.05,1.7,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
28.01.2024,18:30,FC Sevilla,CA Osasuna,2.1,3.4,3.65,1.3,1.32,1.7,2.5,2.15,1.65,1.9,1.8,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
28.01.2024,21:00,Atletico Madrid,CF Valencia,1.52,4.4,6.25,1.13,1.22,2.45,2.5,1.75,2.0,1.85,1.8,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
29.01.2024,21:00,FC Getafe,Granada CF,1.8,3.5,4.65,1.2,1.3,1.95,2.5,2.25,1.62,2.05,1.7,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
31.01.2024,19:00,FC Barcelona,CA Osasuna,1.3,5.75,10.0,1.06,1.14,3.45,3.5,2.35,1.58,1.95,1.75,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
31.01.2024,21:00,Atletico Madrid,Rayo Vallecano,1.45,4.75,6.75,1.12,1.19,2.65,2.5,1.65,2.2,1.8,1.85,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
01.02.2024,21:00,FC Getafe,Real Madrid,5.75,4.05,1.58,2.3,1.24,1.14,2.5,1.9,1.9,1.9,1.75,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
02.02.2024,21:00,Athletic Bilbao,RCD Mallorca,1.52,4.05,7.0,1.12,1.24,2.45,2.5,2.2,1.65,2.25,1.55,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
03.02.2024,14:00,CF Valencia,UD Almeria,1.65,3.95,5.25,1.16,1.25,2.2,2.5,1.9,1.9,1.85,1.85,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
03.02.2024,16:15,Granada CF,UD Las Palmas,2.25,3.25,3.35,1.32,1.35,1.62,2.5,2.3,1.6,1.95,1.75,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
03.02.2024,18:30,Deportivo Alaves,FC Barcelona,5.25,4.0,1.65,2.2,1.25,1.16,2.5,1.8,1.95,1.8,1.9,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
03.02.2024,21:00,Girona CF,Real Sociedad,2.2,3.5,3.25,1.35,1.32,1.65,2.5,1.95,1.85,1.75,1.95,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
04.02.2024,14:00,CF Villarreal,Cadiz CF,1.65,3.95,5.0,1.18,1.25,2.15,2.5,1.85,1.95,1.8,1.85,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
04.02.2024,16:15,CA Osasuna,RC Celta de Vigo,2.4,3.2,3.1,1.35,1.35,1.55,2.5,2.35,1.58,2.0,1.75,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
04.02.2024,18:30,Real Betis Balompie,FC Getafe,1.85,3.45,4.7,1.2,1.32,1.95,2.5,2.3,1.6,2.05,1.65,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
04.02.2024,21:00,Real Madrid,Atletico Madrid,1.75,4.0,4.5,1.2,1.25,2.05,2.5,1.65,2.2,1.62,2.15,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
05.02.2024,21:00,Rayo Vallecano,FC Sevilla,2.2,3.35,3.35,1.32,1.32,1.65,2.5,2.15,1.7,1.85,1.85,2024-01-23 17:17:11.301292,tipwin,spanien,la_liga
