country,league,team,id
deutschland,2_bundesliga,1. FC Kaiserslautern,1
deutschland,2_bundesliga,Hannover 96,2
deutschland,2_bundesliga,FC Hansa Rostock,3
deutschland,2_bundesliga,Hansa Rostock,3
deutschland,2_bundesliga,SV Wehen Wies.,4
deutschland,2_bundesliga,SV Wehen Wiesbaden,4
deutschland,2_bundesliga,VfL 1899 Osnabruck,5
deutschland,2_bundesliga,VfL Osnabruck,5
deutschland,2_bundesliga,Fortuna Dusseldorf,6
deutschland,2_bundesliga,Eintr. Braunschweig,7
deutschland,2_bundesliga,Eintracht Braunschweig,7
deutschland,2_bundesliga,Greuther Furth,8
deutschland,2_bundesliga,SpVgg Greuther Furth,8
deutschland,2_bundesliga,Hamburger SV,9
deutschland,2_bundesliga,1. FC Magdeburg,10
deutschland,2_bundesliga,Karlsruher SC,11
deutschland,2_bundesliga,1. FC Nurnberg,12
deutschland,2_bundesliga,FC Schalke 04,13
deutschland,2_bundesliga,FC St. Pauli,14
deutschland,2_bundesliga,Hertha BSC,15
deutschland,2_bundesliga,Hertha BSC Berlin,15
deutschland,2_bundesliga,SC Paderborn 07,16
deutschland,2_bundesliga,SV Elversberg,17
deutschland,2_bundesliga,SV 07 Elversberg,17
deutschland,2_bundesliga,SpVgg Elversberg 07,17
deutschland,2_bundesliga,Holstein Kiel,18
deutschland,3_liga,MSV Duisburg,1
deutschland,3_liga,RW Essen,2
deutschland,3_liga,Rot-Weiss Essen,2
deutschland,3_liga,SC Verl,3
deutschland,3_liga,SC Verl 1924,3
deutschland,3_liga,SV Waldhof M.,4
deutschland,3_liga,SV Waldhof Mannheim 07,4
deutschland,3_liga,SV Waldhof Mannheim,4
deutschland,3_liga,VfB Lubeck,5
deutschland,3_liga,Arminia Bielefeld,6
deutschland,3_liga,Borussia Dortmund II,7
deutschland,3_liga,FC Ingolstadt,8
deutschland,3_liga,FC Ingolstadt 04,8
deutschland,3_liga,SV Sandhausen,9
deutschland,3_liga,SpVgg Unterhaching,10
deutschland,3_liga,Hallescher FC,11
deutschland,3_liga,1. FC Saarbrucken,12
deutschland,3_liga,FC Viktoria Koln,13
deutschland,3_liga,FC Viktoria Cologne,13
deutschland,3_liga,Jahn Regensburg,14
deutschland,3_liga,SSV Jahn Regensburg,14
deutschland,3_liga,SC Freiburg II,15
