sports,country,league,team,id
fussball,deutschland,2_bundesliga,1. FC Kaiserslautern,1
fussball,deutschland,2_bundesliga,1. FC Magdeburg,10
fussball,deutschland,2_bundesliga,1. FC Nurnberg,12
fussball,deutschland,2_bundesliga,Braunschweig,7
fussball,deutschland,2_bundesliga,Eintr. Braunschweig,7
fussball,deutschland,2_bundesliga,Eintracht Braunschweig,7
fussball,deutschland,2_bundesliga,Elversberg,17
fussball,deutschland,2_bundesliga,FC Hansa Rostock,3
fussball,deutschland,2_bundesliga,FC Schalke 04,13
fussball,deutschland,2_bundesliga,FC St. Pauli,14
fussball,deutschland,2_bundesliga,Fort. Dusseldorf,6
fussball,deutschland,2_bundesliga,Fortuna Dusseldorf,6
fussball,deutschland,2_bundesliga,Greuther Furth,8
fussball,deutschland,2_bundesliga,Hamburger SV,9
fussball,deutschland,2_bundesliga,Hannover 96,2
fussball,deutschland,2_bundesliga,Hansa Rostock,3
fussball,deutschland,2_bundesliga,Hertha BSC,15
fussball,deutschland,2_bundesliga,Hertha BSC Berlin,15
fussball,deutschland,2_bundesliga,Holstein Kiel,18
fussball,deutschland,2_bundesliga,Kaiserslautern,1
fussball,deutschland,2_bundesliga,Karlsruher SC,11
fussball,deutschland,2_bundesliga,Magdeburg,10
fussball,deutschland,2_bundesliga,SC Paderborn,16
fussball,deutschland,2_bundesliga,SC Paderborn 07,16
fussball,deutschland,2_bundesliga,SV 07 Elversberg,17
fussball,deutschland,2_bundesliga,SV Elversberg,17
fussball,deutschland,2_bundesliga,SV Wehen,4
fussball,deutschland,2_bundesliga,SV Wehen Wies.,4
fussball,deutschland,2_bundesliga,SV Wehen Wiesbaden,4
fussball,deutschland,2_bundesliga,Schalke 04,13
fussball,deutschland,2_bundesliga,SpVgg Elversberg 07,17
fussball,deutschland,2_bundesliga,SpVgg Greuther Furth,8
fussball,deutschland,2_bundesliga,VfL 1899 Osnabruck,5
fussball,deutschland,2_bundesliga,VfL Osnabruck,5
fussball,deutschland,3_liga,1. FC Saarbrucken,12
fussball,deutschland,3_liga,1860 Munchen,19
fussball,deutschland,3_liga,Arm. Bielefeld,6
fussball,deutschland,3_liga,Arminia Bielefeld,6
fussball,deutschland,3_liga,Borussia Dortmund II,7
fussball,deutschland,3_liga,Dynamo Dresden,20
fussball,deutschland,3_liga,Erzgebirge Aue,17
fussball,deutschland,3_liga,FC Erzgebirge Aue,17
fussball,deutschland,3_liga,FC Ingolstadt,8
fussball,deutschland,3_liga,FC Ingolstadt 04,8
fussball,deutschland,3_liga,FC Viktoria Cologne,13
fussball,deutschland,3_liga,FC Viktoria Koln,13
fussball,deutschland,3_liga,Freiburg II,15
fussball,deutschland,3_liga,Hallescher FC,11
fussball,deutschland,3_liga,Jahn Regensburg,14
fussball,deutschland,3_liga,MSV Duisburg,1
fussball,deutschland,3_liga,Preussen 06 Munster,18
fussball,deutschland,3_liga,Preussen Munster,18
fussball,deutschland,3_liga,RW Essen,2
fussball,deutschland,3_liga,Regensburg,14
fussball,deutschland,3_liga,Rot-Weiss Essen,2
fussball,deutschland,3_liga,SC Freiburg II,15
fussball,deutschland,3_liga,SC Preussen 06 Munster,18
fussball,deutschland,3_liga,SC Preussen Munster,18
fussball,deutschland,3_liga,SC Verl,3
fussball,deutschland,3_liga,SC Verl 1924,3
fussball,deutschland,3_liga,SSV Jahn Regensburg,14
fussball,deutschland,3_liga,SSV Ulm,16
fussball,deutschland,3_liga,SSV Ulm 1846,16
fussball,deutschland,3_liga,SV Sandhausen,9
fussball,deutschland,3_liga,SV Waldhof M.,4
fussball,deutschland,3_liga,SV Waldhof Mannheim,4
fussball,deutschland,3_liga,SV Waldhof Mannheim 07,4
fussball,deutschland,3_liga,SpVgg Unterhaching,10
fussball,deutschland,3_liga,TSV 1860 Munchen,19
fussball,deutschland,3_liga,Unterhaching,10
fussball,deutschland,3_liga,VfB Lubeck,5
fussball,deutschland,3_liga,Viktoria Koln,13
fussball,deutschland,3_liga,Waldhof Mannheim,4
fussball,deutschland,bundesliga,1. FC Heidenheim,11
fussball,deutschland,bundesliga,1. FC Heidenheim 1846,11
fussball,deutschland,bundesliga,1. FC Koln,16
fussball,deutschland,bundesliga,1. FC Union Berlin,9
fussball,deutschland,bundesliga,1. FSV Mainz 05,12
fussball,deutschland,bundesliga,1.FC Union Berlin,9
fussball,deutschland,bundesliga,Bayer Leverkusen,8
fussball,deutschland,bundesliga,Bayern Munchen,1
fussball,deutschland,bundesliga,Bor. Dortmund,10
fussball,deutschland,bundesliga,Bor. M Gladbach,18
fussball,deutschland,bundesliga,Bor. M'gladbach,18
fussball,deutschland,bundesliga,Borussia Dortmund,10
fussball,deutschland,bundesliga,Borussia M'Gladbach,18
fussball,deutschland,bundesliga,Borussia M'gladbach,18
fussball,deutschland,bundesliga,Eintracht Frankfurt,2
fussball,deutschland,bundesliga,FC Augsburg,3
fussball,deutschland,bundesliga,FC Bayern Munchen,1
fussball,deutschland,bundesliga,FSV Mainz,12
fussball,deutschland,bundesliga,FSV Mainz 05,12
fussball,deutschland,bundesliga,Heidenheim,11
fussball,deutschland,bundesliga,Hoffenheim,4
fussball,deutschland,bundesliga,RB Leipzig,17
fussball,deutschland,bundesliga,SC Freiburg,13
fussball,deutschland,bundesliga,SV Darmstadt,14
fussball,deutschland,bundesliga,SV Darmstadt 98,14
fussball,deutschland,bundesliga,SV Werder Bremen,7
fussball,deutschland,bundesliga,TSG 1899 Hoffenheim,4
fussball,deutschland,bundesliga,TSG Hoffenheim,4
fussball,deutschland,bundesliga,Union Berlin,9
fussball,deutschland,bundesliga,VfB Stuttgart,5
fussball,deutschland,bundesliga,VfL Bochum,15
fussball,deutschland,bundesliga,VfL Wolfsburg,6
fussball,deutschland,bundesliga,Werder Bremen,7
fussball,england,championship,Birmingham,12
fussball,england,championship,Birmingham City,12
fussball,england,championship,Blackburn,2
fussball,england,championship,Blackburn Rovers,2
fussball,england,championship,Bristol City,17
fussball,england,championship,Cardiff,3
fussball,england,championship,Cardiff City,3
fussball,england,championship,Coventry City,11
fussball,england,championship,FC Sunderland,10
fussball,england,championship,FC Watford,4
fussball,england,championship,Huddersfield,19
fussball,england,championship,Huddersfield Town,19
fussball,england,championship,Hull City,5
fussball,england,championship,Ipswich,1
fussball,england,championship,Ipswich Town,1
fussball,england,championship,Leeds United,6
fussball,england,championship,Leicester,13
fussball,england,championship,Leicester City,13
fussball,england,championship,Leicester City FC,13
fussball,england,championship,Middlesbrough,7
fussball,england,championship,Middlesbrough FC,7
fussball,england,championship,Millwall,23
fussball,england,championship,Millwall FC,23
fussball,england,championship,Norwich City,14
fussball,england,championship,Plymouth,20
fussball,england,championship,Plymouth Argyle,20
fussball,england,championship,Preston,21
fussball,england,championship,Preston North End,21
fussball,england,championship,QP Rangers,8
fussball,england,championship,QPR,8
fussball,england,championship,Queens Park Rangers,8
fussball,england,championship,Rotherham,15
fussball,england,championship,Rotherham United,15
fussball,england,championship,Rotherham Utd,15
fussball,england,championship,Sheffield Wed.,0
fussball,england,championship,Sheffield Wednesday,0
fussball,england,championship,Southampton,9
fussball,england,championship,Southampton FC,9
fussball,england,championship,Stoke City,22
fussball,england,championship,Sunderland,10
fussball,england,championship,Sunderland AFC,10
fussball,england,championship,Swansea,16
fussball,england,championship,Swansea City,16
fussball,england,championship,Watford,4
fussball,england,championship,Watford FC,4
fussball,england,championship,West Bromwich,18
fussball,england,championship,West Bromwich Albion,18
fussball,england,league_one,Barnsley,5
fussball,england,league_one,Barnsley FC,5
fussball,england,league_one,Blackpool,0
fussball,england,league_one,Blackpool FC,0
fussball,england,league_one,Bolton,20
fussball,england,league_one,Bolton Wanderers,20
fussball,england,league_one,Bristol Rovers,1
fussball,england,league_one,Burton Albion,13
fussball,england,league_one,Cambridge United,2
fussball,england,league_one,Cambridge Utd,2
fussball,england,league_one,Carlisle United,3
fussball,england,league_one,Carlisle Utd,3
fussball,england,league_one,Charlton,18
fussball,england,league_one,Charlton Athletic,18
fussball,england,league_one,Cheltenham,14
fussball,england,league_one,Cheltenham Town,14
fussball,england,league_one,Derby County,4
fussball,england,league_one,Exeter City,22
fussball,england,league_one,FC Barnsley,5
fussball,england,league_one,FC Blackpool,0
fussball,england,league_one,FC Reading,6
fussball,england,league_one,Fleetwood,19
fussball,england,league_one,Fleetwood Town,19
fussball,england,league_one,Leyton Orient,17
fussball,england,league_one,Lincoln City,7
fussball,england,league_one,Northampton,8
fussball,england,league_one,Northampton Town,8
fussball,england,league_one,Oxford United,12
fussball,england,league_one,Peterborough,23
fussball,england,league_one,Peterborough United,23
fussball,england,league_one,Port Vale,9
fussball,england,league_one,Port Vale FC,9
fussball,england,league_one,Portsmouth,15
fussball,england,league_one,Portsmouth FC,15
fussball,england,league_one,Reading,6
fussball,england,league_one,Reading FC,6
fussball,england,league_one,Shrewsbury,16
fussball,england,league_one,Shrewsbury Town,16
fussball,england,league_one,Stevenage,21
fussball,england,league_one,Stevenage FC,21
fussball,england,league_one,Wigan,10
fussball,england,league_one,Wigan Athletic,10
fussball,england,league_one,Wycombe,11
fussball,england,league_one,Wycombe Wanderers,11
fussball,england,premier_league,AFC Bournemouth,15
fussball,england,premier_league,Arsenal FC,17
fussball,england,premier_league,Aston Villa,8
fussball,england,premier_league,Aston Villa FC,8
fussball,england,premier_league,Bournemouth,15
fussball,england,premier_league,Brentford,10
fussball,england,premier_league,Brentford FC,10
fussball,england,premier_league,Brighton,16
fussball,england,premier_league,Brighton & Hove,16
fussball,england,premier_league,Brighton & Hove Albion FC,16
fussball,england,premier_league,Burnley FC,11
fussball,england,premier_league,Chelsea FC,19
fussball,england,premier_league,Crystal Palace,9
fussball,england,premier_league,Everton FC,14
fussball,england,premier_league,FC Arsenal,17
fussball,england,premier_league,FC Burnley,11
fussball,england,premier_league,FC Chelsea,19
fussball,england,premier_league,FC Everton,14
fussball,england,premier_league,FC Fulham,1
fussball,england,premier_league,FC Liverpool,2
fussball,england,premier_league,Liverpool,2
fussball,england,premier_league,Liverpool FC,2
fussball,england,premier_league,Luton Town,3
fussball,england,premier_league,Man City,0
fussball,england,premier_league,Manchester City,0
fussball,england,premier_league,Manchester City FC,0
fussball,england,premier_league,Manchester United,18
fussball,england,premier_league,Manchester United FC,18
fussball,england,premier_league,Newcastle,12
fussball,england,premier_league,Newcastle United,12
fussball,england,premier_league,Newcastle United FC,12
fussball,england,premier_league,Nottingham,6
fussball,england,premier_league,Nottingham Forest,6
fussball,england,premier_league,Sheffield United,13
fussball,england,premier_league,Sheffield Utd,13
fussball,england,premier_league,Tottenham,4
fussball,england,premier_league,Tottenham Hotspur,4
fussball,england,premier_league,Tottenham Hotspur FC,4
fussball,england,premier_league,West Ham,7
fussball,england,premier_league,West Ham United,7
fussball,england,premier_league,West Ham United FC,7
fussball,england,premier_league,West Ham Utd,7
fussball,england,premier_league,Wolverhampton,5
fussball,england,premier_league,Wolverhampton Wanderers,5
fussball,frankreich,ligue_1,AC Havre,3
fussball,frankreich,ligue_1,AC Le Havre,3
fussball,frankreich,ligue_1,AS Monaco,13
fussball,frankreich,ligue_1,Clermont Foot,4
fussball,frankreich,ligue_1,Clermont Foot 63,4
fussball,frankreich,ligue_1,Clermont Foot 93,4
fussball,frankreich,ligue_1,FC Lorient,5
fussball,frankreich,ligue_1,FC Metz,17
fussball,frankreich,ligue_1,FC Nantes,11
fussball,frankreich,ligue_1,FC Stade Rennes,14
fussball,frankreich,ligue_1,FC Toulouse,6
fussball,frankreich,ligue_1,LOSC Lille,10
fussball,frankreich,ligue_1,Le Havre AC,3
fussball,frankreich,ligue_1,Lille OSC,10
fussball,frankreich,ligue_1,Montpellier,7
fussball,frankreich,ligue_1,Montpellier HSC,7
fussball,frankreich,ligue_1,OGC Nice,8
fussball,frankreich,ligue_1,OGC Nizza,8
fussball,frankreich,ligue_1,OSC Lille,10
fussball,frankreich,ligue_1,Olym. Lyon,9
fussball,frankreich,ligue_1,Olym. Marseille,0
fussball,frankreich,ligue_1,Olympique Lyon,9
fussball,frankreich,ligue_1,Olympique Marseille,0
fussball,frankreich,ligue_1,Paris SG,2
fussball,frankreich,ligue_1,Paris Saint Germain,2
fussball,frankreich,ligue_1,Paris Saint-Germain,2
fussball,frankreich,ligue_1,RC Lens,1
fussball,frankreich,ligue_1,RC Strassburg,12
fussball,frankreich,ligue_1,RC Strassburg Elsass,12
fussball,frankreich,ligue_1,Racing Strassburg,12
fussball,frankreich,ligue_1,Stade Brest,16
fussball,frankreich,ligue_1,Stade Brest 29,16
fussball,frankreich,ligue_1,Stade Reims,15
fussball,frankreich,ligue_1,Stade Rennes,14
fussball,frankreich,ligue_1,Stade de Reims,15
fussball,frankreich,ligue_1,Toulouse,6
fussball,frankreich,ligue_1,Toulouse FC,6
fussball,frankreich,ligue_2,AC Ajaccio,1
fussball,frankreich,ligue_2,AJ Auxerre,0
fussball,frankreich,ligue_2,AS Saint Etienne,9
fussball,frankreich,ligue_2,AS Saint-Etienne,9
fussball,frankreich,ligue_2,Amiens SC,16
